Job<563374>,JobName<F91>,User<user_399wvd>,Project<default>,Application<JustQueue>,Command<cmd/cC:\exeLog\%LSB_JOBID%.bat>C:\exeLog\%LSB_JOBID%.out2>&1>FriMar819:46:23:Submittedfromhost<log01>,toQueue<JustQueue>,CWD<$HOME/JACK/Temp>,SpecifiedCWD<D:\justqueuework\%U\JACK\Temp>,CopyFiles".run_justqueue_20190308194623.bat>C:\exeLog\%J.bat"".run_justqueue_post_20190308194623.bat>C:\exeLog\%J_post.bat",5Task(s),RequestedResources<mstsrusage[wingpunum=1]span[hosts=1]>,Post-executionCommand<cmd/cC:\exeLog\%LSB_JOBID%_post.bat>C:\exeLog\%LSB_JOBID%_post.out2>&1>;FriMar819:46:24:Dispatched5Task(s)onHost(s)<5*gpu01>,Allocated5Slot(s)onHost(s)<5*gpu01>,EffectiveRES_REQ<select[(msts)&&(type==any)]order[r15s:pg]rusage[wingpunum=1.00]span[hosts=1]>;FriMar819:46:24:Starting(Pid5956);FriMar819:46:26:ExternalMessage"3"waspostedfrom"user_399wvd"tomessagebox3;FriMar819:46:26:Runningwithexecutionhome<D:\justqueuework\>,ExecutionCWD<D:\justqueuework\user_399wvd\JACK\Temp>,ExecutionPid<5400>;FriMar819:52:04:Donesuccessfully.TheCPUtimeusedis658.0seconds;FriMar819:52:04:Postjobprocessdonesuccessfully;MEMORYUSAGE:MAXMEM:2.2Gbytes;AVGMEM:2.2GbytesSummaryoftimeinsecondsspentinvariousstatesbyFriMar819:52:04PENDPSUSPRUNUSUSPSSUSPUNKWNTOTAL10340000341------------------------------------------------------------------------
Job<563385>,JobName<F91>,User<user_399wvd>,Project<default>,Application<JustQueue>,Command<cmd/cC:\exeLog\%LSB_JOBID%.bat>C:\exeLog\%LSB_JOBID%.out2>&1>FriMar820:01:15:Submittedfromhost<log01>,toQueue<JustQueue>,CWD<$HOME/JACK>,SpecifiedCWD<D:\justqueuework\%U\JACK>,CopyFiles".run_justqueue_20190308200115.bat>C:\exeLog\%J.bat"".run_justqueue_post_20190308200115.bat>C:\exeLog\%J_post.bat",5Task(s),RequestedResources<mstsrusage[wingpunum=1]span[hosts=1]>,Post-executionCommand<cmd/cC:\exeLog\%LSB_JOBID%_post.bat>C:\exeLog\%LSB_JOBID%_post.out2>&1>;FriMar820:01:16:Dispatched5Task(s)onHost(s)<5*gpu01>,Allocated5Slot(s)onHost(s)<5*gpu01>,EffectiveRES_REQ<select[(msts)&&(type==any)]order[r15s:pg]rusage[wingpunum=1.00]span[hosts=1]>;FriMar820:01:18:Starting(Pid3920);FriMar820:01:22:ExternalMessage"3"waspostedfrom"user_399wvd"tomessagebox3;FriMar820:01:22:Runningwithexecutionhome<D:\justqueuework\>,ExecutionCWD<D:\justqueuework\user_399wvd\JACK>,ExecutionPid<2520>;FriMar820:06:00:Donesuccessfully.TheCPUtimeusedis569.0seconds;FriMar820:06:00:Postjobprocessdonesuccessfully;MEMORYUSAGE:MAXMEM:2.3Gbytes;AVGMEM:2.3GbytesSummaryoftimeinsecondsspentinvariousstatesbyFriMar820:06:00PENDPSUSPRUNUSUSPSSUSPUNKWNTOTAL10284000285------------------------------------------------------------------------
Job<563401>,JobName<F92>,User<user_399wvd>,Project<default>,Application<JustQueue>,Command<cmd/cC:\exeLog\%LSB_JOBID%.bat>C:\exeLog\%LSB_JOBID%.out2>&1>FriMar820:25:28:Submittedfromhost<log01>,toQueue<JustQueue>,CWD<$HOME/JACK>,SpecifiedCWD<D:\justqueuework\%U\JACK>,CopyFiles".run_justqueue_20190308202528.bat>C:\exeLog\%J.bat"".run_justqueue_post_20190308202528.bat>C:\exeLog\%J_post.bat",5Task(s),RequestedResources<mstsrusage[wingpunum=1]span[hosts=1]>,Post-executionCommand<cmd/cC:\exeLog\%LSB_JOBID%_post.bat>C:\exeLog\%LSB_JOBID%_post.out2>&1>;FriMar820:25:29:Dispatched5Task(s)onHost(s)<5*gpu05>,Allocated5Slot(s)onHost(s)<5*gpu05>,EffectiveRES_REQ<select[(msts)&&(type==any)]order[r15s:pg]rusage[wingpunum=1.00]span[hosts=1]>;FriMar820:25:29:Starting(Pid5228);FriMar820:25:31:ExternalMessage"4"waspostedfrom"user_399wvd"tomessagebox3;FriMar820:25:31:Runningwithexecutionhome<D:\justqueuework\>,ExecutionCWD<D:\justqueuework\user_399wvd\JACK>,ExecutionPid<1628>;FriMar820:30:16:Donesuccessfully.TheCPUtimeusedis541.0seconds;FriMar820:30:16:Postjobprocessdonesuccessfully;MEMORYUSAGE:MAXMEM:2.4Gbytes;AVGMEM:2.4GbytesSummaryoftimeinsecondsspentinvariousstatesbyFriMar820:30:16PENDPSUSPRUNUSUSPSSUSPUNKWNTOTAL10287000288------------------------------------------------------------------------
Job<563714>,JobName<F92>,User<user_399wvd>,Project<default>,Application<JustQueue>,Command<cmd/cC:\exeLog\%LSB_JOBID%.bat>C:\exeLog\%LSB_JOBID%.out2>&1>SatMar910:42:28:Submittedfromhost<log01>,toQueue<JustQueue>,CWD<$HOME/JACK>,SpecifiedCWD<D:\justqueuework\%U\JACK>,CopyFiles".run_justqueue_20190309104228.bat>C:\exeLog\%J.bat"".run_justqueue_post_20190309104228.bat>C:\exeLog\%J_post.bat",5Task(s),RequestedResources<mstsrusage[wingpunum=1]span[hosts=1]>,Post-executionCommand<cmd/cC:\exeLog\%LSB_JOBID%_post.bat>C:\exeLog\%LSB_JOBID%_post.out2>&1>;SatMar910:42:30:Dispatched5Task(s)onHost(s)<5*gpu06>,Allocated5Slot(s)onHost(s)<5*gpu06>,EffectiveRES_REQ<select[(msts)&&(type==any)]order[r15s:pg]rusage[wingpunum=1.00]span[hosts=1]>;SatMar910:42:30:Starting(Pid1224);SatMar910:42:32:ExternalMessage"3"waspostedfrom"user_399wvd"tomessagebox3;SatMar910:42:32:Runningwithexecutionhome<D:\justqueuework\>,ExecutionCWD<D:\justqueuework\user_399wvd\JACK>,ExecutionPid<6532>;SatMar910:47:38:Donesuccessfully.TheCPUtimeusedis583.1seconds;SatMar910:47:38:Postjobprocessdonesuccessfully;MEMORYUSAGE:MAXMEM:2.5Gbytes;AVGMEM:2.5GbytesSummaryoftimeinsecondsspentinvariousstatesbySatMar910:47:38PENDPSUSPRUNUSUSPSSUSPUNKWNTOTAL20308000310------------------------------------------------------------------------
Job<563734>,JobName<F92>,User<user_399wvd>,Project<default>,Application<JustQueue>,Command<cmd/cC:\exeLog\%LSB_JOBID%.bat>C:\exeLog\%LSB_JOBID%.out2>&1>SatMar910:53:57:Submittedfromhost<log01>,toQueue<JustQueue>,CWD<$HOME/JACK>,SpecifiedCWD<D:\justqueuework\%U\JACK>,CopyFiles".run_justqueue_20190309105357.bat>C:\exeLog\%J.bat"".run_justqueue_post_20190309105357.bat>C:\exeLog\%J_post.bat",5Task(s),RequestedResources<mstsrusage[wingpunum=1]span[hosts=1]>,Post-executionCommand<cmd/cC:\exeLog\%LSB_JOBID%_post.bat>C:\exeLog\%LSB_JOBID%_post.out2>&1>;SatMar910:53:57:Dispatched5Task(s)onHost(s)<5*gpu03>,Allocated5Slot(s)onHost(s)<5*gpu03>,EffectiveRES_REQ<select[(msts)&&(type==any)]order[r15s:pg]rusage[wingpunum=1.00]span[hosts=1]>;SatMar910:53:57:Starting(Pid3868);SatMar910:53:59:ExternalMessage"4"waspostedfrom"user_399wvd"tomessagebox3;SatMar910:53:59:Runningwithexecutionhome<D:\justqueuework\>,ExecutionCWD<D:\justqueuework\user_399wvd\JACK>,ExecutionPid<6456>;SatMar910:55:49:Donesuccessfully.TheCPUtimeusedis105.1seconds;SatMar910:55:49:Postjobprocessdonesuccessfully;MEMORYUSAGE:MAXMEM:825Mbytes;AVGMEM:825MbytesSummaryoftimeinsecondsspentinvariousstatesbySatMar910:55:49PENDPSUSPRUNUSUSPSSUSPUNKWNTOTAL00112000112------------------------------------------------------------------------
Job<563865>,JobName<35kong>,User<user_399wvd>,Project<default>,Application<JustQueue>,Command<cmd/cC:\exeLog\%LSB_JOBID%.bat>C:\exeLog\%LSB_JOBID%.out2>&1>SatMar911:58:16:Submittedfromhost<log01>,toQueue<JustQueue>,CWD<$HOME/JACK/dayang>,SpecifiedCWD<D:\justqueuework\%U\JACK\dayang>,CopyFiles".run_justqueue_20190309115816.bat>C:\exeLog\%J.bat"".run_justqueue_post_20190309115816.bat>C:\exeLog\%J_post.bat",5Task(s),RequestedResources<mstsrusage[wingpunum=1]span[hosts=1]>,Post-executionCommand<cmd/cC:\exeLog\%LSB_JOBID%_post.bat>C:\exeLog\%LSB_JOBID%_post.out2>&1>;SatMar911:58:17:Dispatched5Task(s)onHost(s)<5*gpu05>,Allocated5Slot(s)onHost(s)<5*gpu05>,EffectiveRES_REQ<select[(msts)&&(type==any)]order[r15s:pg]rusage[wingpunum=1.00]span[hosts=1]>;SatMar911:58:18:Starting(Pid5108);SatMar911:58:20:ExternalMessage"4"waspostedfrom"user_399wvd"tomessagebox3;SatMar911:58:20:Runningwithexecutionhome<D:\justqueuework\>,ExecutionCWD<D:\justqueuework\user_399wvd\JACK\dayang>,ExecutionPid<3096>;SatMar912:45:45:Donesuccessfully.TheCPUtimeusedis9532.1seconds;SatMar912:45:45:Postjobprocessdonesuccessfully;MEMORYUSAGE:MAXMEM:7.1Gbytes;AVGMEM:7.1GbytesSummaryoftimeinsecondsspentinvariousstatesbySatMar912:45:45PENDPSUSPRUNUSUSPSSUSPUNKWNTOTAL1028480002849------------------------------------------------------------------------
Job<563895>,JobName<3>,User<user_399wvd>,Project<default>,Application<JustQueue>,Command<cmd/cC:\exeLog\%LSB_JOBID%.bat>C:\exeLog\%LSB_JOBID%.out2>&1>SatMar913:44:34:Submittedfromhost<log01>,toQueue<JustQueue>,CWD<$HOME/JACK/dayang>,SpecifiedCWD<D:\justqueuework\%U\JACK\dayang>,CopyFiles".run_justqueue_20190309134434.bat>C:\exeLog\%J.bat"".run_justqueue_post_20190309134434.bat>C:\exeLog\%J_post.bat",5Task(s),RequestedResources<mstsrusage[wingpunum=1]span[hosts=1]>,Post-executionCommand<cmd/cC:\exeLog\%LSB_JOBID%_post.bat>C:\exeLog\%LSB_JOBID%_post.out2>&1>;SatMar913:44:35:Dispatched5Task(s)onHost(s)<5*gpu08>,Allocated5Slot(s)onHost(s)<5*gpu08>,EffectiveRES_REQ<select[(msts)&&(type==any)]order[r15s:pg]rusage[wingpunum=1.00]span[hosts=1]>;SatMar913:44:35:Starting(Pid3944);SatMar913:44:51:ExternalMessage"5"waspostedfrom"user_399wvd"tomessagebox3;SatMar913:44:52:Runningwithexecutionhome<D:\justqueuework\>,ExecutionCWD<D:\justqueuework\user_399wvd\JACK\dayang>,ExecutionPid<5956>;SatMar914:10:47:Donesuccessfully.TheCPUtimeusedis4996.0seconds;SatMar914:10:47:Postjobprocessdonesuccessfully;MEMORYUSAGE:MAXMEM:6.9Gbytes;AVGMEM:6.9GbytesSummaryoftimeinsecondsspentinvariousstatesbySatMar914:10:47PENDPSUSPRUNUSUSPSSUSPUNKWNTOTAL1015720001573------------------------------------------------------------------------
Job<563941>,JobName<2>,User<user_399wvd>,Project<default>,Application<JustQueue>,Command<cmd/cC:\exeLog\%LSB_JOBID%.bat>C:\exeLog\%LSB_JOBID%.out2>&1>SatMar914:18:20:Submittedfromhost<log01>,toQueue<JustQueue>,CWD<$HOME/JACK/dayang>,SpecifiedCWD<D:\justqueuework\%U\JACK\dayang>,CopyFiles".run_justqueue_20190309141820.bat>C:\exeLog\%J.bat"".run_justqueue_post_20190309141820.bat>C:\exeLog\%J_post.bat",5Task(s),RequestedResources<mstsrusage[wingpunum=1]span[hosts=1]>,Post-executionCommand<cmd/cC:\exeLog\%LSB_JOBID%_post.bat>C:\exeLog\%LSB_JOBID%_post.out2>&1>;SatMar914:18:20:Dispatched5Task(s)onHost(s)<5*gpu08>,Allocated5Slot(s)onHost(s)<5*gpu08>,EffectiveRES_REQ<select[(msts)&&(type==any)]order[r15s:pg]rusage[wingpunum=1.00]span[hosts=1]>;SatMar914:18:20:Starting(Pid6016);SatMar914:18:36:ExternalMessage"5"waspostedfrom"user_399wvd"tomessagebox3;SatMar914:18:36:Runningwithexecutionhome<D:\justqueuework\>,ExecutionCWD<D:\justqueuework\user_399wvd\JACK\dayang>,ExecutionPid<7140>;SatMar914:28:14:Donesuccessfully.TheCPUtimeusedis1807.1seconds;SatMar914:28:14:Postjobprocessdonesuccessfully;MEMORYUSAGE:MAXMEM:5.6Gbytes;AVGMEM:5.6GbytesSummaryoftimeinsecondsspentinvariousstatesbySatMar914:28:14PENDPSUSPRUNUSUSPSSUSPUNKWNTOTAL00594000594------------------------------------------------------------------------
Job<563992>,JobName<35kong>,User<user_399wvd>,Project<default>,Application<JustQueue>,Command<cmd/cC:\exeLog\%LSB_JOBID%.bat>C:\exeLog\%LSB_JOBID%.out2>&1>SatMar914:42:10:Submittedfromhost<log01>,toQueue<JustQueue>,CWD<$HOME/JACK/dayang>,SpecifiedCWD<D:\justqueuework\%U\JACK\dayang>,CopyFiles".run_justqueue_20190309144210.bat>C:\exeLog\%J.bat"".run_justqueue_post_20190309144210.bat>C:\exeLog\%J_post.bat",5Task(s),RequestedResources<mstsrusage[wingpunum=1]span[hosts=1]>,Post-executionCommand<cmd/cC:\exeLog\%LSB_JOBID%_post.bat>C:\exeLog\%LSB_JOBID%_post.out2>&1>;SatMar914:42:11:Dispatched5Task(s)onHost(s)<5*gpu07>,Allocated5Slot(s)onHost(s)<5*gpu07>,EffectiveRES_REQ<select[(msts)&&(type==any)]order[r15s:pg]rusage[wingpunum=1.00]span[hosts=1]>;SatMar914:42:11:Starting(Pid7564);SatMar914:42:24:ExternalMessage"3"waspostedfrom"user_399wvd"tomessagebox3;SatMar914:42:24:Runningwithexecutionhome<D:\justqueuework\>,ExecutionCWD<D:\justqueuework\user_399wvd\JACK\dayang>,ExecutionPid<1736>;SatMar915:20:57:Donesuccessfully.TheCPUtimeusedis8293.1seconds;SatMar915:20:57:Postjobprocessdonesuccessfully;MEMORYUSAGE:MAXMEM:6.8Gbytes;AVGMEM:6.8GbytesSummaryoftimeinsecondsspentinvariousstatesbySatMar915:20:57PENDPSUSPRUNUSUSPSSUSPUNKWNTOTAL1023260002327------------------------------------------------------------------------
Job<564075>,JobName<1>,User<user_399wvd>,Project<default>,Application<JustQueue>,Command<cmd/cC:\exeLog\%LSB_JOBID%.bat>C:\exeLog\%LSB_JOBID%.out2>&1>SatMar915:31:37:Submittedfromhost<log01>,toQueue<JustQueue>,CWD<$HOME/JACK/dayang>,SpecifiedCWD<D:\justqueuework\%U\JACK\dayang>,CopyFiles".run_justqueue_20190309153137.bat>C:\exeLog\%J.bat"".run_justqueue_post_20190309153137.bat>C:\exeLog\%J_post.bat",5Task(s),RequestedResources<mstsrusage[wingpunum=1]span[hosts=1]>,Post-executionCommand<cmd/cC:\exeLog\%LSB_JOBID%_post.bat>C:\exeLog\%LSB_JOBID%_post.out2>&1>;SatMar915:31:38:Dispatched5Task(s)onHost(s)<5*gpu07>,Allocated5Slot(s)onHost(s)<5*gpu07>,EffectiveRES_REQ<select[(msts)&&(type==any)]order[r15s:pg]rusage[wingpunum=1.00]span[hosts=1]>;SatMar915:31:39:Starting(Pid4532);SatMar915:31:55:ExternalMessage"3"waspostedfrom"user_399wvd"tomessagebox3;SatMar915:31:55:Runningwithexecutionhome<D:\justqueuework\>,ExecutionCWD<D:\justqueuework\user_399wvd\JACK\dayang>,ExecutionPid<6852>;SatMar920:32:41:Donesuccessfully.TheCPUtimeusedis62600.1seconds;SatMar920:32:41:Postjobprocessdonesuccessfully;MEMORYUSAGE:MAXMEM:32.3Gbytes;AVGMEM:32.3GbytesSummaryoftimeinsecondsspentinvariousstatesbySatMar920:32:41PENDPSUSPRUNUSUSPSSUSPUNKWNTOTAL101806300018064------------------------------------------------------------------------
Job<565079>,JobName<NEW>,User<user_399wvd>,Project<default>,Application<JustQueue>,Command<cmd/cC:\exeLog\%LSB_JOBID%.bat>C:\exeLog\%LSB_JOBID%.out2>&1>MonMar1115:50:28:Submittedfromhost<log01>,toQueue<JustQueue>,CWD<$HOME>,SpecifiedCWD<D:\justqueuework\%U\\gpfs\home\user_399wvd>,CopyFiles".run_justqueue_20190311155028.bat>C:\exeLog\%J.bat"".run_justqueue_post_20190311155028.bat>C:\exeLog\%J_post.bat",5Task(s),RequestedResources<mstsrusage[wingpunum=1]span[hosts=1]>,Post-executionCommand<cmd/cC:\exeLog\%LSB_JOBID%_post.bat>C:\exeLog\%LSB_JOBID%_post.out2>&1>;MonMar1115:50:28:Dispatched5Task(s)onHost(s)<5*gpu02>,Allocated5Slot(s)onHost(s)<5*gpu02>,EffectiveRES_REQ<select[(msts)&&(type==any)]order[r15s:pg]rusage[wingpunum=1.00]span[hosts=1]>;MonMar1115:50:28:Starting(Pid5816);MonMar1115:50:30:ExternalMessage"4"waspostedfrom"user_399wvd"tomessagebox3;MonMar1115:50:30:Runningwithexecutionhome<D:\justqueuework\>,ExecutionCWD<D:\justqueuework\user_399wvd\\gpfs\home\user_399wvd>,ExecutionPid<5496>;MonMar1115:51:06:Donesuccessfully.TheCPUtimeusedis51.0seconds;MonMar1115:51:06:Postjobprocessdonesuccessfully;SummaryoftimeinsecondsspentinvariousstatesbyMonMar1115:51:06PENDPSUSPRUNUSUSPSSUSPUNKWNTOTAL003800038------------------------------------------------------------------------
