Job<562973>,JobName<JustQueue_1552030056999>,User<user_780cdq>,Project<default>,Application<JustQueue>,Command<cmd/cC:\exeLog\%LSB_JOBID%.bat>C:\exeLog\%LSB_JOBID%.out2>&1>FriMar815:27:37:Submittedfromhost<log01>,toQueue<JustQueue>,CWD<$HOME/20190228yanzheng>,SpecifiedCWD<D:\justqueuework\%U\20190228yanzheng>,CopyFiles".run_justqueue_20190308152737.bat>C:\exeLog\%J.bat"".run_justqueue_post_20190308152737.bat>C:\exeLog\%J_post.bat",5Task(s),RequestedResources<mstsrusage[wingpunum=1]span[hosts=1]>,Post-executionCommand<cmd/cC:\exeLog\%LSB_JOBID%_post.bat>C:\exeLog\%LSB_JOBID%_post.out2>&1>;FriMar815:27:37:Dispatched5Task(s)onHost(s)<5*gpu05>,Allocated5Slot(s)onHost(s)<5*gpu05>,EffectiveRES_REQ<select[(msts)&&(type==any)]order[r15s:pg]rusage[wingpunum=1.00]span[hosts=1]>;FriMar815:27:37:Starting(Pid4648);FriMar815:27:39:ExternalMessage"3"waspostedfrom"user_780cdq"tomessagebox3;FriMar815:27:39:Runningwithexecutionhome<C:\Users\user_780cdq\AppData\Local\Temp\>,ExecutionCWD<D:\justqueuework\user_780cdq\20190228yanzheng>,ExecutionPid<5460>;SatMar913:12:22:Donesuccessfully.TheCPUtimeusedis264269.1seconds;SatMar913:12:22:Postjobprocessdonesuccessfully;MEMORYUSAGE:MAXMEM:35.8Gbytes;AVGMEM:35.8GbytesSummaryoftimeinsecondsspentinvariousstatesbySatMar913:12:22PENDPSUSPRUNUSUSPSSUSPUNKWNTOTAL007828500078285------------------------------------------------------------------------
Job<563541>,JobName<JustQueue_1552093827968>,User<user_780cdq>,Project<default>,Application<JustQueue>,Command<cmd/cC:\exeLog\%LSB_JOBID%.bat>C:\exeLog\%LSB_JOBID%.out2>&1>SatMar909:10:28:Submittedfromhost<log01>,toQueue<JustQueue>,CWD<$HOME/20181225connect>,SpecifiedCWD<D:\justqueuework\%U\20181225connect>,CopyFiles".run_justqueue_20190309091028.bat>C:\exeLog\%J.bat"".run_justqueue_post_20190309091028.bat>C:\exeLog\%J_post.bat",5Task(s),RequestedResources<mstsrusage[wingpunum=1]span[hosts=1]>,Post-executionCommand<cmd/cC:\exeLog\%LSB_JOBID%_post.bat>C:\exeLog\%LSB_JOBID%_post.out2>&1>;SatMar909:10:28:Dispatched5Task(s)onHost(s)<5*gpu08>,Allocated5Slot(s)onHost(s)<5*gpu08>,EffectiveRES_REQ<select[(msts)&&(type==any)]order[r15s:pg]rusage[wingpunum=1.00]span[hosts=1]>;SatMar909:10:28:Starting(Pid3588);SatMar909:10:33:ExternalMessage"4"waspostedfrom"user_780cdq"tomessagebox3;SatMar909:10:33:Runningwithexecutionhome<D:\justqueuework\>,ExecutionCWD<D:\justqueuework\user_780cdq\20181225connect>,ExecutionPid<5928>;SatMar909:11:11:Donesuccessfully.TheCPUtimeusedis21.0seconds;SatMar909:11:11:Postjobprocessdonesuccessfully;SummaryoftimeinsecondsspentinvariousstatesbySatMar909:11:11PENDPSUSPRUNUSUSPSSUSPUNKWNTOTAL004300043------------------------------------------------------------------------
Job<563556>,JobName<JustQueue_1552094155908>,User<user_780cdq>,Project<default>,Application<JustQueue>,Command<cmd/cC:\exeLog\%LSB_JOBID%.bat>C:\exeLog\%LSB_JOBID%.out2>&1>SatMar909:15:56:Submittedfromhost<log01>,toQueue<JustQueue>,CWD<$HOME/20181225connect>,SpecifiedCWD<D:\justqueuework\%U\20181225connect>,CopyFiles".run_justqueue_20190309091556.bat>C:\exeLog\%J.bat"".run_justqueue_post_20190309091556.bat>C:\exeLog\%J_post.bat",5Task(s),RequestedResources<mstsrusage[wingpunum=1]span[hosts=1]>,Post-executionCommand<cmd/cC:\exeLog\%LSB_JOBID%_post.bat>C:\exeLog\%LSB_JOBID%_post.out2>&1>;SatMar909:15:56:Dispatched5Task(s)onHost(s)<5*gpu08>,Allocated5Slot(s)onHost(s)<5*gpu08>,EffectiveRES_REQ<select[(msts)&&(type==any)]order[r15s:pg]rusage[wingpunum=1.00]span[hosts=1]>;SatMar909:15:56:Starting(Pid4048);SatMar909:16:12:ExternalMessage"4"waspostedfrom"user_780cdq"tomessagebox3;SatMar909:16:12:Runningwithexecutionhome<D:\justqueuework\>,ExecutionCWD<D:\justqueuework\user_780cdq\20181225connect>,ExecutionPid<2812>;SatMar909:18:39:Donesuccessfully.TheCPUtimeusedis192.0seconds;SatMar909:18:40:Postjobprocessdonesuccessfully;MEMORYUSAGE:MAXMEM:547Mbytes;AVGMEM:547MbytesSummaryoftimeinsecondsspentinvariousstatesbySatMar909:18:40PENDPSUSPRUNUSUSPSSUSPUNKWNTOTAL00163000163------------------------------------------------------------------------
Job<563573>,JobName<JustQueue_1552094571470>,User<user_780cdq>,Project<default>,Application<JustQueue>,Command<cmd/cC:\exeLog\%LSB_JOBID%.bat>C:\exeLog\%LSB_JOBID%.out2>&1>SatMar909:22:51:Submittedfromhost<log01>,toQueue<JustQueue>,CWD<$HOME/20181225connect>,SpecifiedCWD<D:\justqueuework\%U\20181225connect>,CopyFiles".run_justqueue_20190309092251.bat>C:\exeLog\%J.bat"".run_justqueue_post_20190309092251.bat>C:\exeLog\%J_post.bat",5Task(s),RequestedResources<mstsrusage[wingpunum=1]span[hosts=1]>,Post-executionCommand<cmd/cC:\exeLog\%LSB_JOBID%_post.bat>C:\exeLog\%LSB_JOBID%_post.out2>&1>;SatMar909:22:52:Dispatched5Task(s)onHost(s)<5*gpu07>,Allocated5Slot(s)onHost(s)<5*gpu07>,EffectiveRES_REQ<select[(msts)&&(type==any)]order[r15s:pg]rusage[wingpunum=1.00]span[hosts=1]>;SatMar909:22:52:Starting(Pid7372);SatMar909:23:08:ExternalMessage"3"waspostedfrom"user_780cdq"tomessagebox3;SatMar909:23:09:Runningwithexecutionhome<D:\justqueuework\>,ExecutionCWD<D:\justqueuework\user_780cdq\20181225connect>,ExecutionPid<7752>;SatMar909:35:09:Donesuccessfully.TheCPUtimeusedis3144.0seconds;SatMar909:35:09:Postjobprocessdonesuccessfully;MEMORYUSAGE:MAXMEM:2Gbytes;AVGMEM:2GbytesSummaryoftimeinsecondsspentinvariousstatesbySatMar909:35:09PENDPSUSPRUNUSUSPSSUSPUNKWNTOTAL10737000738------------------------------------------------------------------------
Job<568165>,JobName<JustQueue_1552611774319>,User<user_780cdq>,Project<default>,Application<JustQueue>,Command<cmd/cC:\exeLog\%LSB_JOBID%.bat>C:\exeLog\%LSB_JOBID%.out2>&1>FriMar1509:02:54:Submittedfromhost<log01>,toQueue<JustQueue>,CWD<$HOME/20190211sample>,SpecifiedCWD<D:\justqueuework\%U\20190211sample>,CopyFiles".run_justqueue_20190315090254.bat>C:\exeLog\%J.bat"".run_justqueue_post_20190315090254.bat>C:\exeLog\%J_post.bat",5Task(s),RequestedResources<mstsrusage[wingpunum=1]span[hosts=1]>,Post-executionCommand<cmd/cC:\exeLog\%LSB_JOBID%_post.bat>C:\exeLog\%LSB_JOBID%_post.out2>&1>;FriMar1509:02:55:Dispatched5Task(s)onHost(s)<5*gpu05>,Allocated5Slot(s)onHost(s)<5*gpu05>,EffectiveRES_REQ<select[(msts)&&(type==any)]order[r15s:pg]rusage[wingpunum=1.00]span[hosts=1]>;FriMar1509:02:55:Starting(Pid4268);FriMar1509:02:57:ExternalMessage"2"waspostedfrom"user_780cdq"tomessagebox3;FriMar1509:02:57:Runningwithexecutionhome<D:\justqueuework\>,ExecutionCWD<D:\justqueuework\user_780cdq\20190211sample>,ExecutionPid<4136>;FriMar1509:03:09:Donesuccessfully.TheCPUtimeusedis8.1seconds;FriMar1509:03:09:Postjobprocessdonesuccessfully;SummaryoftimeinsecondsspentinvariousstatesbyFriMar1509:03:09PENDPSUSPRUNUSUSPSSUSPUNKWNTOTAL101400015------------------------------------------------------------------------
Job<568166>,JobName<JustQueue_1552611838067>,User<user_780cdq>,Project<default>,Application<JustQueue>,Command<cmd/cC:\exeLog\%LSB_JOBID%.bat>C:\exeLog\%LSB_JOBID%.out2>&1>FriMar1509:03:58:Submittedfromhost<log01>,toQueue<JustQueue>,CWD<$HOME/20190211sample>,SpecifiedCWD<D:\justqueuework\%U\20190211sample>,CopyFiles".run_justqueue_20190315090358.bat>C:\exeLog\%J.bat"".run_justqueue_post_20190315090358.bat>C:\exeLog\%J_post.bat",5Task(s),RequestedResources<mstsrusage[wingpunum=1]span[hosts=1]>,Post-executionCommand<cmd/cC:\exeLog\%LSB_JOBID%_post.bat>C:\exeLog\%LSB_JOBID%_post.out2>&1>;FriMar1509:03:59:Dispatched5Task(s)onHost(s)<5*gpu05>,Allocated5Slot(s)onHost(s)<5*gpu05>,EffectiveRES_REQ<select[(msts)&&(type==any)]order[r15s:pg]rusage[wingpunum=1.00]span[hosts=1]>;FriMar1509:03:59:Starting(Pid7108);FriMar1509:04:01:ExternalMessage"2"waspostedfrom"user_780cdq"tomessagebox3;FriMar1509:04:01:Runningwithexecutionhome<D:\justqueuework\>,ExecutionCWD<D:\justqueuework\user_780cdq\20190211sample>,ExecutionPid<6556>;FriMar1509:04:10:Donesuccessfully.TheCPUtimeusedis5.0seconds;FriMar1509:04:10:Postjobprocessdonesuccessfully;SummaryoftimeinsecondsspentinvariousstatesbyFriMar1509:04:10PENDPSUSPRUNUSUSPSSUSPUNKWNTOTAL101100012------------------------------------------------------------------------
Job<568168>,JobName<JustQueue_1552611954338>,User<user_780cdq>,Project<default>,Application<JustQueue>,Command<cmd/cC:\exeLog\%LSB_JOBID%.bat>C:\exeLog\%LSB_JOBID%.out2>&1>FriMar1509:05:54:Submittedfromhost<log01>,toQueue<JustQueue>,CWD<$HOME/20190211sample>,SpecifiedCWD<D:\justqueuework\%U\20190211sample>,CopyFiles".run_justqueue_20190315090554.bat>C:\exeLog\%J.bat"".run_justqueue_post_20190315090554.bat>C:\exeLog\%J_post.bat",5Task(s),RequestedResources<mstsrusage[wingpunum=1]span[hosts=1]>,Post-executionCommand<cmd/cC:\exeLog\%LSB_JOBID%_post.bat>C:\exeLog\%LSB_JOBID%_post.out2>&1>;FriMar1509:05:54:Dispatched5Task(s)onHost(s)<5*gpu08>,Allocated5Slot(s)onHost(s)<5*gpu08>,EffectiveRES_REQ<select[(msts)&&(type==any)]order[r15s:pg]rusage[wingpunum=1.00]span[hosts=1]>;FriMar1509:05:54:Starting(Pid6952);FriMar1509:06:10:ExternalMessage"2"waspostedfrom"user_780cdq"tomessagebox3;FriMar1509:06:10:Runningwithexecutionhome<D:\justqueuework\>,ExecutionCWD<D:\justqueuework\user_780cdq\20190211sample>,ExecutionPid<5860>;FriMar1509:11:54:Donesuccessfully.TheCPUtimeusedis1029.0seconds;FriMar1509:11:54:Postjobprocessdonesuccessfully;MEMORYUSAGE:MAXMEM:1.2Gbytes;AVGMEM:1.2GbytesSummaryoftimeinsecondsspentinvariousstatesbyFriMar1509:11:54PENDPSUSPRUNUSUSPSSUSPUNKWNTOTAL00360000360------------------------------------------------------------------------
Job<568195>,JobName<JustQueue_1552612696485>,User<user_780cdq>,Project<default>,Application<JustQueue>,Command<cmd/cC:\exeLog\%LSB_JOBID%.bat>C:\exeLog\%LSB_JOBID%.out2>&1>FriMar1509:18:16:Submittedfromhost<log01>,toQueue<JustQueue>,CWD<$HOME/20190211sample>,SpecifiedCWD<D:\justqueuework\%U\20190211sample>,CopyFiles".run_justqueue_20190315091816.bat>C:\exeLog\%J.bat"".run_justqueue_post_20190315091816.bat>C:\exeLog\%J_post.bat",5Task(s),RequestedResources<mstsrusage[wingpunum=1]span[hosts=1]>,Post-executionCommand<cmd/cC:\exeLog\%LSB_JOBID%_post.bat>C:\exeLog\%LSB_JOBID%_post.out2>&1>;FriMar1509:18:17:Dispatched5Task(s)onHost(s)<5*gpu06>,Allocated5Slot(s)onHost(s)<5*gpu06>,EffectiveRES_REQ<select[(msts)&&(type==any)]order[r15s:pg]rusage[wingpunum=1.00]span[hosts=1]>;FriMar1509:18:17:Starting(Pid2400);FriMar1509:18:19:ExternalMessage"2"waspostedfrom"user_780cdq"tomessagebox3;FriMar1509:18:19:Runningwithexecutionhome<D:\justqueuework\>,ExecutionCWD<D:\justqueuework\user_780cdq\20190211sample>,ExecutionPid<1684>;FriMar1509:21:56:Donesuccessfully.TheCPUtimeusedis827.0seconds;FriMar1509:21:56:Postjobprocessdonesuccessfully;MEMORYUSAGE:MAXMEM:1.1Gbytes;AVGMEM:1.1GbytesSummaryoftimeinsecondsspentinvariousstatesbyFriMar1509:21:56PENDPSUSPRUNUSUSPSSUSPUNKWNTOTAL10219000220------------------------------------------------------------------------
Job<568216>,JobName<JustQueue_1552613195710>,User<user_780cdq>,Project<default>,Application<JustQueue>,Command<cmd/cC:\exeLog\%LSB_JOBID%.bat>C:\exeLog\%LSB_JOBID%.out2>&1>FriMar1509:26:35:Submittedfromhost<log01>,toQueue<JustQueue>,CWD<$HOME/20190211sample>,SpecifiedCWD<D:\justqueuework\%U\20190211sample>,CopyFiles".run_justqueue_20190315092635.bat>C:\exeLog\%J.bat"".run_justqueue_post_20190315092635.bat>C:\exeLog\%J_post.bat",5Task(s),RequestedResources<mstsrusage[wingpunum=1]span[hosts=1]>,Post-executionCommand<cmd/cC:\exeLog\%LSB_JOBID%_post.bat>C:\exeLog\%LSB_JOBID%_post.out2>&1>;FriMar1509:26:36:Dispatched5Task(s)onHost(s)<5*gpu08>,Allocated5Slot(s)onHost(s)<5*gpu08>,EffectiveRES_REQ<select[(msts)&&(type==any)]order[r15s:pg]rusage[wingpunum=1.00]span[hosts=1]>;FriMar1509:26:36:Starting(Pid2064);FriMar1509:26:53:ExternalMessage"3"waspostedfrom"user_780cdq"tomessagebox3;FriMar1509:26:53:Runningwithexecutionhome<D:\justqueuework\>,ExecutionCWD<D:\justqueuework\user_780cdq\20190211sample>,ExecutionPid<3160>;FriMar1509:28:30:Donesuccessfully.TheCPUtimeusedis126.0seconds;FriMar1509:28:30:Postjobprocessdonesuccessfully;MEMORYUSAGE:MAXMEM:482Mbytes;AVGMEM:482MbytesSummaryoftimeinsecondsspentinvariousstatesbyFriMar1509:28:30PENDPSUSPRUNUSUSPSSUSPUNKWNTOTAL10114000115------------------------------------------------------------------------
Job<568224>,JobName<JustQueue_1552613385595>,User<user_780cdq>,Project<default>,Application<JustQueue>,Command<cmd/cC:\exeLog\%LSB_JOBID%.bat>C:\exeLog\%LSB_JOBID%.out2>&1>FriMar1509:29:45:Submittedfromhost<log01>,toQueue<JustQueue>,CWD<$HOME/20190211sample>,SpecifiedCWD<D:\justqueuework\%U\20190211sample>,CopyFiles".run_justqueue_20190315092945.bat>C:\exeLog\%J.bat"".run_justqueue_post_20190315092945.bat>C:\exeLog\%J_post.bat",5Task(s),RequestedResources<mstsrusage[wingpunum=1]span[hosts=1]>,Post-executionCommand<cmd/cC:\exeLog\%LSB_JOBID%_post.bat>C:\exeLog\%LSB_JOBID%_post.out2>&1>;FriMar1509:29:46:Dispatched5Task(s)onHost(s)<5*gpu02>,Allocated5Slot(s)onHost(s)<5*gpu02>,EffectiveRES_REQ<select[(msts)&&(type==any)]order[r15s:pg]rusage[wingpunum=1.00]span[hosts=1]>;FriMar1509:29:46:Starting(Pid1764);FriMar1509:29:48:ExternalMessage"3"waspostedfrom"user_780cdq"tomessagebox3;FriMar1509:29:48:Runningwithexecutionhome<D:\justqueuework\>,ExecutionCWD<D:\justqueuework\user_780cdq\20190211sample>,ExecutionPid<2808>;FriMar1509:33:24:Donesuccessfully.TheCPUtimeusedis795.0seconds;FriMar1509:33:24:Postjobprocessdonesuccessfully;MEMORYUSAGE:MAXMEM:1Gbytes;AVGMEM:1GbytesSummaryoftimeinsecondsspentinvariousstatesbyFriMar1509:33:24PENDPSUSPRUNUSUSPSSUSPUNKWNTOTAL10218000219------------------------------------------------------------------------
Job<568252>,JobName<JustQueue_1552613861533>,User<user_780cdq>,Project<default>,Application<JustQueue>,Command<cmd/cC:\exeLog\%LSB_JOBID%.bat>C:\exeLog\%LSB_JOBID%.out2>&1>FriMar1509:37:41:Submittedfromhost<log01>,toQueue<JustQueue>,CWD<$HOME/20190211sample>,SpecifiedCWD<D:\justqueuework\%U\20190211sample>,CopyFiles".run_justqueue_20190315093741.bat>C:\exeLog\%J.bat"".run_justqueue_post_20190315093741.bat>C:\exeLog\%J_post.bat",5Task(s),RequestedResources<mstsrusage[wingpunum=1]span[hosts=1]>,Post-executionCommand<cmd/cC:\exeLog\%LSB_JOBID%_post.bat>C:\exeLog\%LSB_JOBID%_post.out2>&1>;FriMar1509:37:42:Dispatched5Task(s)onHost(s)<5*gpu08>,Allocated5Slot(s)onHost(s)<5*gpu08>,EffectiveRES_REQ<select[(msts)&&(type==any)]order[r15s:pg]rusage[wingpunum=1.00]span[hosts=1]>;FriMar1509:37:42:Starting(Pid5204);FriMar1509:37:59:ExternalMessage"2"waspostedfrom"user_780cdq"tomessagebox3;FriMar1509:37:59:Runningwithexecutionhome<D:\justqueuework\>,ExecutionCWD<D:\justqueuework\user_780cdq\20190211sample>,ExecutionPid<6176>;FriMar1509:43:45:Donesuccessfully.TheCPUtimeusedis1020.0seconds;FriMar1509:43:45:Postjobprocessdonesuccessfully;MEMORYUSAGE:MAXMEM:1.2Gbytes;AVGMEM:1.2GbytesSummaryoftimeinsecondsspentinvariousstatesbyFriMar1509:43:45PENDPSUSPRUNUSUSPSSUSPUNKWNTOTAL10363000364------------------------------------------------------------------------
